customer_id,customer_name,segment,region,city,state
JC-16105,Julie Creighton,Corporate,South,Durham,North Carolina
CS-12400,Christopher Schild,Home Office,Central,Chicago,Illinois
PO-18865,Patrick O'Donnell,Consumer,South,Columbia,South Carolina
PG-18895,Paul Gonzalez,Consumer,Central,Rochester,Minnesota
GM-14455,Gary Mitchum,Home Office,Central,Houston,Texas
JS-15685,Jim Sink,Corporate,West,Los Angeles,California
KB-16315,Karl Braun,Consumer,Central,Minneapolis,Minnesota
RB-19705,Roger Barcio,Home Office,West,Portland,Oregon
PN-18775,Parhena Norris,Home Office,East,New York City,New York
KD-16345,Katherine Ducich,Consumer,West,San Francisco,California
ER-13855,Elpida Rittenbach,Corporate,Central,Saint Paul,Minnesota
RB-19465,Rick Bensley,Home Office,Central,Chicago,Illinois
GZ-14470,Gary Zandusky,Consumer,Central,Rochester,Minnesota
LC-16870,Lena Cacioppo,Consumer,West,Aurora,Colorado
JM-15250,Janet Martin,Consumer,South,Charlotte,North Carolina
PA-19060,Pete Armstrong,Home Office,Central,Orland Park,Illinois
CV-12805,Cynthia Voltz,Corporate,East,New York City,New York
CL-12565,Clay Ludtke,Consumer,Central,Urbandale,Iowa
RC-19960,Ryan Crowe,Consumer,East,Columbus,Ohio
DK-13090,Dave Kipp,Consumer,West,Seattle,Washington
GG-14650,Greg Guthrie,Corporate,South,Bristol,Tennessee
SC-20725,Steven Cartwright,Consumer,East,Wilmington,Delaware
AD-10180,Alan Dominguez,Home Office,Central,Houston,Texas
PF-19165,Philip Fox,Consumer,Central,Bloomington,Illinois
TS-21610,Troy Staebel,Consumer,West,Phoenix,Arizona
LS-16975,Lindsay Shagiari,Home Office,West,Los Angeles,California
DW-13585,Dorothy Wardle,Corporate,East,Columbus,Ohio
LC-16885,Lena Creighton,Consumer,West,Roseville,California
JD-15895,Jonathan Doherty,Corporate,East,Philadelphia,Pennsylvania
SH-19975,Sally Hughsby,Corporate,West,San Francisco,California
SG-20080,Sandra Glassco,Consumer,Central,Independence,Missouri
HA-14920,Helen Andreada,Consumer,West,Pasadena,California
MG-17680,Maureen Gastineau,Home Office,East,Newark,Ohio
JE-16165,Justin Ellison,Corporate,Central,Franklin,Wisconsin
TW-21025,Tamara Willingham,Home Office,West,Scottsdale,Arizona
SP-20650,Stephanie Phelps,Corporate,West,San Jose,California
NK-18490,Neil Knudson,Home Office,West,Seattle,Washington
DB-13060,Dave Brooks,Consumer,West,Seattle,Washington
NP-18670,Nora Paige,Consumer,Central,Edmond,Oklahoma
TT-21070,Ted Trevino,Consumer,West,Los Angeles,California
EM-13960,Eric Murdock,Consumer,East,Philadelphia,Pennsylvania
RD-19900,Ruben Dartt,Consumer,West,Carlsbad,New Mexico
MJ-17740,Max Jones,Consumer,West,Seattle,Washington
BM-11140,Becky Martin,Consumer,Central,San Antonio,Texas
CS-12130,Chad Sievert,Consumer,West,Los Angeles,California
JB-15400,Jennifer Braxton,Corporate,Central,Chicago,Illinois
SJ-20500,Shirley Jackson,Consumer,Central,Houston,Texas
JE-15745,Joel Eaton,Consumer,East,Newark,Ohio
JK-15640,Jim Kriz,Home Office,East,New York City,New York
DK-13150,David Kendrick,Corporate,Central,Decatur,Illinois
RM-19675,Robert Marley,Home Office,South,Monroe,Louisiana
SK-19990,Sally Knutson,Consumer,East,Fairfield,Connecticut
FM-14290,Frank Merwin,Home Office,West,Los Angeles,California
AM-10360,Alice McCarthy,Corporate,Central,Grand Prairie,Texas
MP-17470,Mark Packer,Home Office,East,New York City,New York
MZ-17515,Mary Zewe,Corporate,West,Redlands,California
CB-12025,Cassandra Brandow,Consumer,East,Hamilton,Ohio
VM-21685,Valerie Mitchum,Home Office,East,Westfield,New Jersey
FH-14365,Fred Hopkins,Corporate,East,Philadelphia,Pennsylvania
MB-17305,Maria Bertelson,Consumer,East,Akron,Ohio
BS-11755,Bruce Stewart,Consumer,West,Denver,Colorado
LC-17140,Logan Currie,Consumer,Central,Dallas,Texas
HK-14890,Heather Kirkland,Corporate,South,Franklin,Tennessee
LE-16810,Laurel Elliston,Consumer,West,Whittier,California
JH-15985,Joseph Holt,Consumer,Central,Saginaw,Michigan
MS-17980,Michael Stewart,Corporate,Central,Dallas,Texas
VW-21775,Victoria Wilson,Corporate,East,Medina,Ohio
JH-15910,Jonathan Howell,Consumer,West,Los Angeles,California
JB-15925,Joni Blumstein,Consumer,East,Dublin,Ohio
DS-13180,David Smith,Corporate,Central,Detroit,Michigan
VD-21670,Valerie Dominguez,Consumer,South,Columbia,Tennessee
EA-14035,Erin Ashbrook,Corporate,South,Charlotte,North Carolina
CS-12400,Christopher Schild,Home Office,South,Tampa,Florida
DB-13120,David Bremer,Corporate,West,Santa Clara,California
KL-16645,Ken Lonsdale,Consumer,Central,Chicago,Illinois
DW-13480,Dianna Wilson,Home Office,Central,Lakeville,Minnesota
LH-17155,Logan Haushalter,Consumer,West,San Francisco,California
KC-16540,Kelly Collister,Consumer,West,San Diego,California
DL-13315,Delfina Latchford,Consumer,East,New York City,New York
DR-12880,Dan Reichenbach,Corporate,Central,Chicago,Illinois
CC-12670,Craig Carreira,Consumer,East,New York City,New York
Dl-13600,Dorris liebe,Corporate,Central,Pasadena,Texas
SB-20290,Sean Braxton,Corporate,Central,Houston,Texas
RC-19825,Roy Collins,Consumer,Central,Chicago,Illinois
AH-10210,Alan Hwang,Consumer,West,Brentwood,California
CB-12535,Claudia Bergmann,Corporate,South,Chapel Hill,North Carolina
PG-18895,Paul Gonzalez,Consumer,East,Morristown,New Jersey
CA-12310,Christine Abelman,Corporate,East,Cincinnati,Ohio
KH-16690,Kristen Hastings,Corporate,West,San Francisco,California
HA-14920,Helen Andreada,Consumer,West,San Francisco,California
BB-10990,Barry Blumstein,Corporate,West,Inglewood,California
AG-10495,Andrew Gjertsen,Corporate,East,Philadelphia,Pennsylvania
SC-20725,Steven Cartwright,Consumer,Central,Houston,Texas
JO-15280,Jas O'Carroll,Consumer,West,Los Angeles,California
TB-21520,Tracy Blumstein,Consumer,West,Portland,Oregon
AH-10195,Alan Haines,Corporate,South,Tamarac,Florida
NZ-18565,Nick Zandusky,Home Office,East,Columbus,Ohio
KL-16555,Kelly Lampkin,Corporate,West,Colorado Springs,Colorado
JD-15895,Jonathan Doherty,Corporate,East,Belleville,New Jersey
JH-15910,Jonathan Howell,Consumer,Central,Chicago,Illinois
AS-10225,Alan Schoenberger,Corporate,East,New York City,New York
KB-16600,Ken Brennan,Corporate,Central,Taylor,Michigan
CR-12625,Corey Roper,Home Office,East,Lakewood,New Jersey
SH-20395,Shahid Hopkins,Consumer,South,Arlington,Virginia
BP-11185,Ben Peterman,Corporate,West,Arvada,Colorado
TS-21205,Thomas Seio,Corporate,East,Hackensack,New Jersey
AG-10525,Andy Gerbode,Corporate,South,Saint Petersburg,Florida
SP-20860,Sung Pak,Corporate,East,Philadelphia,Pennsylvania
NM-18445,Nathan Mautz,Home Office,East,New York City,New York
FA-14230,Frank Atkinson,Corporate,West,Long Beach,California
GK-14620,Grace Kelly,Corporate,West,Hesperia,California
DJ-13510,Don Jones,Corporate,South,Murfreesboro,Tennessee
PO-18850,Patrick O'Brill,Consumer,East,Philadelphia,Pennsylvania
JL-15850,John Lucas,Consumer,East,Philadelphia,Pennsylvania
DB-13615,Doug Bickford,Consumer,West,Los Angeles,California
AC-10420,Alyssa Crouse,Corporate,West,San Francisco,California
KL-16645,Ken Lonsdale,Consumer,West,Layton,Utah
CS-12130,Chad Sievert,Consumer,Central,Austin,Texas
CC-12550,Clay Cheatham,Consumer,West,San Francisco,California
TD-20995,Tamara Dahlen,Consumer,East,Lowell,Massachusetts
AB-10060,Adam Bellavance,Home Office,East,New York City,New York
JL-15505,Jeremy Lonsdale,Consumer,East,New York City,New York
HK-14890,Heather Kirkland,Corporate,South,Charlotte,North Carolina
VB-21745,Victoria Brennan,Corporate,South,Columbus,Georgia
KW-16435,Katrina Willman,Consumer,East,New York City,New York
JD-16060,Julia Dunbar,Consumer,West,San Francisco,California
MK-17905,Michael Kennedy,Corporate,East,Manchester,Connecticut
GT-14755,Guy Thornton,Consumer,Central,Harlingen,Texas
AG-10900,Arthur Gainer,Consumer,West,Tucson,Arizona
MM-18280,Muhammed MacIntyre,Corporate,Central,Quincy,Illinois
AR-10405,Allen Rosenblatt,Corporate,East,Franklin,Massachusetts
RA-19915,Russell Applegate,Consumer,Central,Houston,Texas
AS-10285,Alejandro Savely,Corporate,West,San Francisco,California
LA-16780,Laura Armstrong,Corporate,Central,Taylor,Michigan
DO-13435,Denny Ordway,Consumer,South,Pembroke Pines,Florida
DK-13225,Dean Katz,Corporate,East,Philadelphia,Pennsylvania
NG-18430,Nathan Gelder,Consumer,East,Cincinnati,Ohio
MV-18190,Mike Vittorini,Consumer,East,New York City,New York
JG-15115,Jack Garza,Consumer,West,Des Moines,Washington
BP-11095,Bart Pistole,Corporate,Central,Peoria,Illinois
VP-21730,Victor Preis,Home Office,West,Las Vegas,Nevada
SS-20220,Saphhira Shifley,Corporate,East,Warwick,Rhode Island
HP-14815,Harold Pawlan,Home Office,Central,Jackson,Michigan
AG-10675,Anna Gayman,Consumer,Central,Houston,Texas
LF-17185,Luke Foster,Consumer,South,Miami,Florida
SP-20650,Stephanie Phelps,Corporate,South,Wilmington,North Carolina
RF-19840,Roy Französisch,Consumer,East,New York City,New York
KH-16510,Keith Herrera,Consumer,West,San Francisco,California
KC-16675,Kimberly Carter,Corporate,West,Seattle,Washington
CJ-12010,Caroline Jumper,Consumer,West,Huntington Beach,California
PB-19150,Philip Brown,Consumer,West,Los Angeles,California
VB-21745,Victoria Brennan,Corporate,South,Richmond,Kentucky
SP-20860,Sung Pak,Corporate,West,Los Angeles,California
JE-15745,Joel Eaton,Consumer,West,Louisville,Colorado
MP-17965,Michael Paige,Corporate,East,Lawrence,Massachusetts
NF-18385,Natalie Fritzler,Consumer,South,Jackson,Mississippi
JM-15265,Janet Molinari,Corporate,Central,Canton,Michigan
SD-20485,Shirley Daniels,Home Office,East,New Rochelle,New York
KH-16630,Ken Heidel,Corporate,Central,San Antonio,Texas
RB-19795,Ross Baird,Home Office,South,Gastonia,North Carolina
DB-13060,Dave Brooks,Consumer,East,Lowell,Massachusetts
MK-18160,Mike Kennedy,Consumer,South,Jacksonville,Florida
PO-19180,Philisse Overcash,Home Office,Central,Chicago,Illinois
BB-11545,Brenda Bowman,Corporate,Central,Houston,Texas
PK-19075,Pete Kriz,Consumer,Central,Detroit,Michigan
TB-21595,Troy Blackwell,Consumer,Central,Columbus,Indiana
RB-19360,Raymond Buch,Consumer,East,Auburn,New York
EB-13705,Ed Braxton,Corporate,East,Akron,Ohio
KH-16630,Ken Heidel,Corporate,Central,Norman,Oklahoma
SC-20095,Sanjit Chand,Consumer,West,Concord,California
NF-18385,Natalie Fritzler,Consumer,Central,Decatur,Illinois
JH-15985,Joseph Holt,Consumer,West,Seattle,Washington
TN-21040,Tanja Norvell,Home Office,West,Phoenix,Arizona
JS-15940,Joni Sundaresam,Home Office,Central,Park Ridge,Illinois
DS-13180,David Smith,Corporate,Central,Amarillo,Texas
CC-12670,Craig Carreira,Consumer,Central,Chicago,Illinois
MH-17785,Maya Herman,Corporate,East,Lindenhurst,New York
JP-15520,Jeremy Pistek,Consumer,West,San Francisco,California
KH-16690,Kristen Hastings,Corporate,West,Los Angeles,California
JE-15475,Jeremy Ellison,Consumer,East,Troy,New York
JG-15805,John Grady,Corporate,East,New York City,New York
XP-21865,Xylona Preis,Consumer,West,San Diego,California
EM-14065,Erin Mull,Consumer,East,New York City,New York
MT-18070,Michelle Tran,Home Office,West,Los Angeles,California
SA-20830,Sue Ann Reed,Consumer,Central,Chicago,Illinois
CW-11905,Carl Weiss,Home Office,Central,Huntsville,Texas
AJ-10960,Astrea Jones,Consumer,East,Rochester,New York
SS-20590,Sonia Sunley,Consumer,West,Seattle,Washington
RO-19780,Rose O'Brian,Consumer,South,Memphis,Tennessee
MD-17350,Maribeth Dona,Consumer,South,Fayetteville,Arkansas
SC-20095,Sanjit Chand,Consumer,West,Costa Mesa,California
MY-17380,Maribeth Yedwab,Corporate,West,Parker,Colorado
EB-13705,Ed Braxton,Corporate,East,New York City,New York
CM-12385,Christopher Martinez,Consumer,South,Atlanta,Georgia
LS-17245,Lynn Smith,Consumer,Central,Gladstone,Missouri
LF-17185,Luke Foster,Consumer,East,Newark,Ohio
BN-11515,Bradley Nguyen,Consumer,West,Los Angeles,California
AD-10180,Alan Dominguez,Home Office,West,Great Falls,Montana
DB-13210,Dean Braden,Consumer,Central,Houston,Texas
MC-17605,Matt Connell,Corporate,Central,Detroit,Michigan
LH-17155,Logan Haushalter,Consumer,West,Los Angeles,California
BD-11605,Brian Dahlen,Consumer,East,Lawrence,Massachusetts
PH-18790,Patricia Hirasaki,Home Office,South,Lakeland,Florida
MG-18145,Mike Gockenbach,Consumer,East,Philadelphia,Pennsylvania
KB-16240,Karen Bern,Corporate,West,Los Angeles,California
JC-15340,Jasper Cacioppo,Consumer,West,Los Angeles,California
RL-19615,Rob Lucas,Consumer,South,Montgomery,Alabama
AA-10375,Allen Armold,Consumer,West,Mesa,Arizona
EP-13915,Emily Phan,Consumer,Central,Chicago,Illinois
DK-12985,Darren Koutras,Consumer,South,Henderson,Kentucky
BD-11500,Bradley Drucker,Consumer,Central,Green Bay,Wisconsin
ES-14080,Erin Smith,Corporate,West,Tucson,Arizona
LM-17065,Liz MacKendrick,Consumer,East,Springfield,Ohio
PG-18895,Paul Gonzalez,Consumer,Central,Fort Worth,Texas
AS-10135,Adrian Shami,Home Office,East,New York City,New York
DK-13225,Dean Katz,Corporate,Central,Chicago,Illinois
BD-11320,Bill Donatelli,Consumer,West,San Francisco,California
RC-19960,Ryan Crowe,Consumer,South,Jacksonville,Florida
GT-14710,Greg Tran,Consumer,Central,Houston,Texas
DK-13225,Dean Katz,Corporate,West,Anaheim,California
AJ-10945,Ashley Jarboe,Consumer,South,Wilmington,North Carolina
OT-18730,Olvera Toch,Consumer,West,Los Angeles,California
LP-17080,Liz Pelletier,Consumer,West,San Francisco,California
CA-12775,Cynthia Arntzen,Consumer,South,Tampa,Florida
JF-15490,Jeremy Farry,Consumer,West,Seattle,Washington
FP-14320,Frank Preis,Consumer,West,Los Angeles,California
EB-13840,Ellis Ballard,Corporate,West,Seattle,Washington
JF-15415,Jennifer Ferguson,Consumer,East,New York City,New York
SF-20200,Sarah Foster,Consumer,West,Marysville,Washington
TG-21640,Trudy Glocke,Consumer,West,Long Beach,California
CS-11950,Carlos Soltero,Consumer,Central,Chicago,Illinois
CC-12145,Charles Crestani,Consumer,West,Los Angeles,California
DV-13465,Dianna Vittorini,Consumer,West,Denver,Colorado
BD-11725,Bruce Degenhardt,Consumer,South,Richmond,Kentucky
ZC-21910,Zuschuss Carroll,Consumer,West,Salem,Oregon
MS-17830,Melanie Seite,Consumer,Central,Laredo,Texas
LR-16915,Lena Radford,Consumer,West,San Diego,California
TP-21130,Theone Pippenger,Consumer,East,Philadelphia,Pennsylvania
CK-12205,Chloris Kastensmidt,Consumer,East,Philadelphia,Pennsylvania
AS-10240,Alan Shonely,Consumer,South,Tampa,Florida
AR-10510,Andrew Roberts,Consumer,East,Philadelphia,Pennsylvania
NB-18655,Nona Balk,Corporate,Central,Dallas,Texas
GD-14590,Giulietta Dortch,Corporate,East,Philadelphia,Pennsylvania
CK-12595,Clytie Kelty,Consumer,East,Grove City,Ohio
NG-18355,Nat Gilpin,Corporate,East,New York City,New York
CA-12265,Christina Anderson,Consumer,Central,Chicago,Illinois
SF-20965,Sylvia Foulston,Corporate,Central,Dearborn,Michigan
MO-17800,Meg O'Connel,Home Office,East,New York City,New York
AT-10735,Annie Thurman,Consumer,West,Seattle,Washington
LC-17140,Logan Currie,Consumer,West,San Francisco,California
FM-14380,Fred McMath,Consumer,West,Aurora,Colorado
BD-11605,Brian Dahlen,Consumer,South,Miami,Florida
DJ-13420,Denny Joy,Corporate,South,Warner Robins,Georgia
ME-17725,Max Engle,Consumer,West,Aurora,Colorado
RB-19465,Rick Bensley,Home Office,West,Vallejo,California
JD-16150,Justin Deggeller,Corporate,Central,Minneapolis,Minnesota
JL-15835,John Lee,Consumer,West,Mission Viejo,California
SC-20305,Sean Christensen,Consumer,Central,Rochester Hills,Michigan
TW-21025,Tamara Willingham,Home Office,East,Plainfield,New Jersey
CC-12430,Chuck Clark,Home Office,Central,Columbus,Indiana
BB-10990,Barry Blumstein,Corporate,West,Sierra Vista,Arizona
AR-10825,Anthony Rawles,Corporate,West,Vancouver,Washington
SR-20740,Steven Roelle,Home Office,East,New York City,New York
AR-10405,Allen Rosenblatt,Corporate,East,New York City,New York
CR-12730,Craig Reiter,Consumer,East,Columbus,Ohio
EH-14125,Eugene Hildebrand,Home Office,Central,Aurora,Illinois
CB-12025,Cassandra Brandow,Consumer,Central,Arlington,Texas
SP-20545,Sibella Parks,Corporate,East,New York City,New York
RC-19825,Roy Collins,Consumer,South,Louisville,Kentucky
TH-21235,Tiffany House,Corporate,Central,Dallas,Texas
RP-19390,Resi Pölking,Consumer,East,Cleveland,Ohio
MO-17800,Meg O'Connel,Home Office,Central,Chicago,Illinois
TD-20995,Tamara Dahlen,Consumer,Central,Quincy,Illinois
RB-19570,Rob Beeghly,Consumer,Central,Columbus,Indiana
CD-11980,Carol Darley,Consumer,Central,Tyler,Texas
DJ-13630,Doug Jacobs,Consumer,East,New York City,New York
GT-14635,Grant Thornton,Corporate,South,Burlington,North Carolina
MC-17845,Michael Chen,Consumer,South,Jackson,Mississippi
RA-19285,Ralph Arnett,Consumer,East,New York City,New York
NP-18325,Naresj Patel,Consumer,South,Waynesboro,Virginia
AB-10165,Alan Barnes,Consumer,West,Los Angeles,California
JO-15550,Jesus Ocampo,Home Office,East,Chester,Pennsylvania
Dl-13600,Dorris liebe,Corporate,East,Cleveland,Ohio
AS-10285,Alejandro Savely,Corporate,West,Seattle,Washington
JK-15370,Jay Kimmel,Consumer,West,Long Beach,California
BN-11470,Brad Norvell,Corporate,South,Cary,North Carolina
DP-13165,David Philippe,Consumer,East,New York City,New York
TH-21550,Tracy Hopkins,Home Office,East,New York City,New York
AP-10915,Arthur Prichep,Consumer,South,Palm Coast,Florida
RS-19765,Roland Schwarz,Corporate,East,Mount Vernon,New York
Dl-13600,Dorris liebe,Corporate,West,Seattle,Washington
SV-20365,Seth Vernon,Consumer,East,Dover,Delaware
KC-16540,Kelly Collister,Consumer,East,Newark,Ohio
CK-12325,Christine Kargatis,Home Office,West,Orem,Utah
RD-19810,Ross DeVincentis,Home Office,West,Los Angeles,California
MP-17965,Michael Paige,Corporate,Central,Detroit,Michigan
MR-17545,Mathew Reese,Home Office,East,Philadelphia,Pennsylvania
SC-20695,Steve Chapman,Corporate,South,Hialeah,Florida
JF-15355,Jay Fein,Consumer,Central,Austin,Texas
EG-13900,Emily Grady,Consumer,East,Oceanside,New York
DS-13030,Darrin Sayre,Home Office,West,Seattle,Washington
GZ-14470,Gary Zandusky,Consumer,West,San Francisco,California
PO-19195,Phillina Ober,Home Office,Central,Naperville,Illinois
SS-20875,Sung Shariari,Consumer,Central,Dallas,Texas
MH-17785,Maya Herman,Corporate,West,San Diego,California
PB-19105,Peter Bühler,Consumer,Central,Evanston,Illinois
RF-19735,Roland Fjeld,Consumer,Central,Trenton,Michigan
YC-21895,Yoseph Carroll,Corporate,West,San Francisco,California
MS-17830,Melanie Seite,Consumer,West,Los Angeles,California
NB-18655,Nona Balk,Corporate,South,Jacksonville,Florida
DC-13285,Debra Catini,Consumer,Central,Cottage Grove,Minnesota
CP-12340,Christine Phan,Corporate,East,New York City,New York
BF-11020,Barry Französisch,Corporate,Central,Green Bay,Wisconsin
AR-10510,Andrew Roberts,Consumer,West,Los Angeles,California
JC-16105,Julie Creighton,Corporate,South,Atlanta,Georgia
LH-17020,Lisa Hazard,Consumer,East,Columbus,Ohio
CS-12250,Chris Selesnick,Corporate,South,Bossier City,Louisiana
AJ-10795,Anthony Johnson,Corporate,South,Saint Petersburg,Florida
LE-16810,Laurel Elliston,Consumer,South,Arlington,Virginia
BV-11245,Benjamin Venier,Corporate,Central,Des Moines,Iowa
DL-12865,Dan Lawera,Consumer,East,Cincinnati,Ohio
NZ-18565,Nick Zandusky,Home Office,West,San Francisco,California
BM-11785,Bryan Mills,Consumer,East,Columbus,Ohio
EA-14035,Erin Ashbrook,Corporate,South,Columbia,South Carolina
CL-12565,Clay Ludtke,Consumer,West,Lancaster,California
LT-17110,Liz Thompson,Consumer,West,Lancaster,California
SA-20830,Sue Ann Reed,Consumer,South,Richmond,Virginia
JK-15730,Joe Kamberova,Consumer,South,Asheville,North Carolina
ES-14020,Erica Smith,Consumer,West,San Francisco,California
RH-19495,Rick Hansen,Consumer,Central,Rochester,Minnesota
DB-13120,David Bremer,Corporate,East,Rochester,New York
CD-11920,Carlos Daly,Consumer,West,Lake Elsinore,California
HW-14935,Helen Wasserman,Corporate,West,San Diego,California
HW-14935,Helen Wasserman,Corporate,East,New York City,New York
MC-18130,Mike Caudle,Corporate,South,Monroe,Louisiana
GM-14440,Gary McGarr,Consumer,West,San Francisco,California
RA-19915,Russell Applegate,Consumer,West,Denver,Colorado
AA-10375,Allen Armold,Consumer,Central,Omaha,Nebraska
ZC-21910,Zuschuss Carroll,Consumer,West,Edmonds,Washington
PJ-19015,Pauline Johnson,Consumer,West,Santa Ana,California
BW-11110,Bart Watters,Corporate,Central,Milwaukee,Wisconsin
DB-13210,Dean Braden,Consumer,East,Philadelphia,Pennsylvania
CA-12775,Cynthia Arntzen,Consumer,East,Philadelphia,Pennsylvania
TR-21325,Toby Ritter,Consumer,East,Belleville,New Jersey
PG-18820,Patrick Gardner,Consumer,West,San Francisco,California
GT-14710,Greg Tran,Consumer,Central,Lakeville,Minnesota
JE-15745,Joel Eaton,Consumer,South,Florence,Kentucky
JB-15400,Jennifer Braxton,Corporate,South,Tampa,Florida
LH-17020,Lisa Hazard,Consumer,Central,Tyler,Texas
JL-15175,James Lanier,Home Office,South,Columbia,Tennessee
EB-13705,Ed Braxton,Corporate,Central,Fort Worth,Texas
BM-11650,Brian Moss,Corporate,East,New York City,New York
EM-14095,Eudokia Martin,Corporate,West,Los Angeles,California
AF-10885,Art Foster,Consumer,South,Louisville,Kentucky
GA-14725,Guy Armstrong,Consumer,East,Lorain,Ohio
CK-12760,Cyma Kinney,Corporate,East,Linden,New Jersey
DP-13105,Dave Poirier,Corporate,West,Salinas,California
VD-21670,Valerie Dominguez,Consumer,South,Jackson,Mississippi
GT-14710,Greg Tran,Consumer,East,New York City,New York
BK-11260,Berenike Kampe,Consumer,East,New York City,New York
SJ-20125,Sanjit Jacobs,Home Office,East,New Brunswick,New Jersey
CM-12445,Chuck Magee,Consumer,West,San Francisco,California
AJ-10795,Anthony Johnson,Corporate,South,Jacksonville,Florida
AJ-10780,Anthony Jacobs,Corporate,South,Springfield,Virginia
LS-16945,Linda Southworth,Corporate,East,Philadelphia,Pennsylvania
GP-14740,Guy Phonely,Corporate,East,Lancaster,Pennsylvania
PK-18910,Paul Knutson,Home Office,East,Philadelphia,Pennsylvania
TB-21520,Tracy Blumstein,Consumer,East,Concord,New Hampshire
SM-20005,Sally Matthias,Consumer,East,New York City,New York
GA-14725,Guy Armstrong,Consumer,South,Charlotte,North Carolina
CC-12430,Chuck Clark,Home Office,East,Concord,New Hampshire
AG-10765,Anthony Garverick,Home Office,East,Philadelphia,Pennsylvania
HP-14815,Harold Pawlan,Home Office,East,New York City,New York
DK-13090,Dave Kipp,Consumer,South,Springfield,Virginia
PM-19135,Peter McVee,Home Office,Central,Detroit,Michigan
LL-16840,Lauren Leatherbury,Consumer,East,Rochester,New York
JS-15595,Jill Stevenson,Corporate,West,Los Angeles,California
OT-18730,Olvera Toch,Consumer,West,San Diego,California
EL-13735,Ed Ludwig,Home Office,East,Columbia,Maryland
CK-12760,Cyma Kinney,Corporate,West,San Francisco,California
JE-15475,Jeremy Ellison,Consumer,East,New Rochelle,New York
TH-21550,Tracy Hopkins,Home Office,Central,Detroit,Michigan
PC-18745,Pamela Coakley,Corporate,West,San Francisco,California
HL-15040,Hunter Lopez,Consumer,Central,Houston,Texas
MS-17365,Maribeth Schnelling,Consumer,Central,Detroit,Michigan
GB-14530,George Bell,Corporate,East,Auburn,New York
JR-16210,Justin Ritter,Corporate,East,Springfield,Ohio
TD-20995,Tamara Dahlen,Consumer,Central,Garland,Texas
DB-13060,Dave Brooks,Consumer,Central,Chicago,Illinois
LC-17140,Logan Currie,Consumer,West,Los Angeles,California
PO-18865,Patrick O'Donnell,Consumer,East,New York City,New York
BE-11335,Bill Eplett,Home Office,Central,Jackson,Michigan
SC-20050,Sample Company A,Home Office,East,Norwich,Connecticut
BM-11650,Brian Moss,Corporate,Central,Milwaukee,Wisconsin
KL-16555,Kelly Lampkin,Corporate,Central,San Antonio,Texas
RW-19630,Rob Williams,Corporate,Central,Dallas,Texas
RC-19825,Roy Collins,Consumer,South,Alexandria,Virginia
SE-20110,Sanjit Engle,Consumer,East,New York City,New York
AH-10075,Adam Hart,Corporate,East,New York City,New York
JM-15535,Jessica Myrick,Consumer,East,Philadelphia,Pennsylvania
JJ-15760,Joel Jenkins,Home Office,South,Springfield,Virginia
AB-10165,Alan Barnes,Consumer,East,Toledo,Ohio
